,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unnamed: 67
14,Austria,AUT,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9002161026001,9.88414573669434,10.3714122772217,10.2366361618042,10.3358402252197,10.2170248031616,10.1091136932373,10.1529273986816,10.2627859115601,9.15046119689941,9.39920520782471,9.53390502929688,9.52635955810547,9.72220516204834,9.45856857299805,9.69365501403809,9.80349922180176,9.77025699615479,9.73365116119385,9.42200183868408,9.65059852600098,9.77871322631836,9.81950569152832,9.81190967559814,9.8905029296875,8.96463680267334,8.84664344787598,,
17,Belgium,BEL,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0044212341309,11.1524782180786,11.2715930938721,11.5008249282837,11.4194593429565,11.2052040100098,11.5008573532104,11.6047554016113,11.5436449050903,11.4161128997803,10.9779834747314,11.5367441177368,11.3690233230591,11.2771291732788,11.1327447891235,11.2154445648193,11.2295703887939,11.0699214935303,11.3517208099365,11.3424959182739,11.7361478805542,11.6954307556152,11.9768667221069,11.8788394927979,11.8170013427734,11.1489362716675,11.3198261260986,,
21,Bulgaria,BGR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12325954437256,10.9380292892456,11.9182796478271,10.8772258758545,9.27444458007812,11.4207429885864,8.89816570281982,10.5071325302124,9.74993801116943,9.97500324249268,9.81768417358398,8.92736148834229,9.55589771270752,10.7672672271729,10.4770545959473,11.2711486816406,10.7262678146362,9.52760219573975,10.652626991272,10.3638000488281,9.88965129852295,9.98612213134766,9.66042137145996,9.75960445404053,9.427565574646,9.69010066986084,9.763916015625,10.1444025039673,9.54122543334961,10.4822626113892,9.45689678192139,10.561671257019,,
37,Switzerland,CHE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4940900802612,15.5292482376099,15.3484115600586,14.8963422775269,14.7339468002319,14.7856245040894,14.5701904296875,14.3693237304688,14.1690073013306,13.9305839538574,14.0967302322388,14.7989168167114,14.686710357666,15.3090171813965,15.1373510360718,15.1917314529419,15.4210720062256,15.2347688674927,15.2296237945557,15.2887344360352,15.1756076812744,15.3431043624878,15.3788661956787,15.0640153884888,15.2539520263672,15.384970664978,15.3578214645386,15.359375,15.4628915786743,15.6454629898071,14.2384071350098,14.5508413314819,,
53,Cyprus,CYP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.275146484375,14.8348302841187,14.9711894989014,14.9054288864136,14.9772434234619,14.7767457962036,14.5130062103271,14.5829057693481,14.9054718017578,14.9483184814453,14.4089345932007,14.4986753463745,14.7981653213501,15.5970468521118,15.0933561325073,15.5240621566772,14.8708009719849,14.0066299438477,14.7843351364136,11.3143348693848,13.863242149353,14.6343183517456,14.4133911132812,11.7928562164307,13.5074253082275,12.9371271133423,12.7362098693848,,
54,Czechia,CZE,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82418346405029,11.3067626953125,11.0102977752686,10.734224319458,10.2491369247437,10.7525682449341,10.4524850845337,11.0171871185303,10.6412544250488,11.2805690765381,11.2287092208862,11.8212118148804,10.6711826324463,10.5268926620483,10.4351472854614,10.585657119751,10.6301145553589,10.1663341522217,10.6200428009033,10.6447257995605,10.4988613128662,9.93392562866211,10.4360103607178,11.2675294876099,11.8427038192749,10.743049621582,10.8769035339355,,
55,Germany,DEU,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46196365356445,9.04996490478516,9.23796844482422,9.16286087036133,7.50564336776733,8.57922649383545,8.70657253265381,8.63432598114014,8.58439826965332,8.52844333648682,8.75545024871826,8.7079610824585,8.64251327514648,8.77161598205566,8.78028964996338,8.90677928924561,9.04431533813477,8.92984580993652,9.01806831359863,9.11344146728516,9.51164531707764,9.51723003387451,9.7097110748291,9.74810409545898,9.63814353942871,9.4778299331665,9.48073101043701,9.63820171356201,9.71987533569336,9.19867610931396,8.84707832336426,,
58,Denmark,DNK,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8777933120728,11.0823926925659,11.451810836792,12.0758438110352,11.8901042938232,11.9353685379028,12.1024618148804,12.3573884963989,12.2421703338623,12.5096940994263,12.4436130523682,12.424934387207,11.9803829193115,12.1115255355835,12.267725944519,12.583722114563,12.0839557647705,12.0301713943481,12.3308391571045,12.9065752029419,12.8566246032715,12.9486169815063,12.7363147735596,12.6484069824219,12.7428998947144,11.9155778884888,11.8883810043335,,
70,Spain,ESP,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85406589508057,10.0658941268921,10.1405954360962,10.0916614532471,10.5077142715454,10.5237493515015,10.4827470779419,10.5665941238403,10.5926456451416,10.6286649703979,10.4052257537842,10.4370346069336,10.3825521469116,10.3598051071167,10.1776542663574,9.9380931854248,9.69765377044678,8.55840301513672,8.97512054443359,9.17328262329102,9.41445732116699,9.66042995452881,9.75414752960205,9.57202339172363,9.57694053649902,9.02206134796143,9.1786003112793,,
71,Estonia,EST,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4789333343506,17.951587677002,17.8191814422607,17.4072589874268,17.8168888092041,17.620044708252,18.1624450683594,18.2003059387207,17.9200572967529,18.0984725952148,17.5179996490479,17.5368518829346,17.0132350921631,16.422779083252,15.2818441390991,16.1728553771973,16.2565689086914,15.6193103790283,15.3818626403809,14.616979598999,14.9788484573364,14.3647565841675,14.4936990737915,15.8006401062012,15.525013923645,14.2844390869141,14.251974105835,,
